Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS01 - Home,Chrome 77.0.3865.75,,2019-09-14 18:02:57,2019-09-14 18:04:42,"1m - 44,956s",PASSED
,,,,,,
Test Cases/CT001 - Home,Chrome 77.0.3865.75,Home.feature,2019-09-14 18:02:58,2019-09-14 18:03:12,"13,582s",PASSED
home.AcessarHome.refreshBrowser(),Chrome 77.0.3865.75,,2019-09-14 18:02:59,2019-09-14 18:03:10,"11,248s",PASSED
home.AcessarHome.isElementPresent(),Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,328s",PASSED
"menuSobre = ""PageHome/menuSobre""",Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,001s",PASSED
"textMenuSobre = ""Sobre""",Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,004s",PASSED
labelSobre = getText(findTestObject(menuSobre)),Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,072s",PASSED
println(labelSobre),Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,005s",PASSED
"validaLabelSobre = verifyEqual(labelSobre, textMenuSobre)",Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,048s",PASSED
if (validaLabelSobre == true),Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,006s",PASSED
"menuJunte = ""PageHome/menuJuntePontos""",Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,001s",PASSED
"textMenuJunte = ""Junte pontos""",Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:10,"0,001s",PASSED
labelJunte = getText(findTestObject(menuJunte)),Chrome 77.0.3865.75,,2019-09-14 18:03:10,2019-09-14 18:03:11,"0,055s",PASSED
println(labelJunte),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,002s",PASSED
"validaLabelJunte = verifyEqual(labelJunte, textMenuJunte)",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,002s",PASSED
if (validaLabelJunte == true),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,004s",PASSED
"menuGanhe = ""PageHome/menuGanhePremios""",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
"textMenuGanhe = ""Ganhe prêmios""",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
labelGanhe = getText(findTestObject(menuGanhe)),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,050s",PASSED
println(labelGanhe),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
"validaLabelGanhe = verifyEqual(labelGanhe, textMenuGanhe)",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,002s",PASSED
if (validaLabelGanhe == true),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,002s",PASSED
"lojaVirtual = ""PageHome/menuLojaVirtual""",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
"textMenuLoja = ""Loja virtual""",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
labelLoja = getText(findTestObject(lojaVirtual)),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,056s",PASSED
println(labelLoja),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
"validaLabelLoja = verifyEqual(labelLoja, textMenuLoja)",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
if (validaLabelLoja == true),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,003s",PASSED
"btnEntrar = ""PageHome/btnEntrar""",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
"hintBtnEntrar = ""Entrar""",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
txtBtnEntrar = getText(findTestObject(btnEntrar)),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,049s",PASSED
println(txtBtnEntrar),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
"validaBtnEntrar = verifyEqual(txtBtnEntrar, hintBtnEntrar)",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
if (validaBtnEntrar == true),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,004s",PASSED
"btnParticipar = ""PageHome/btnQueroParticipar""",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
"hintBtnParticipar = ""Quero participar""",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
textBtnParticipar = getText(findTestObject(btnParticipar)),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,048s",PASSED
println(textBtnParticipar),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
"validaBtnParticipar = verifyEqual(textBtnParticipar, hintBtnParticipar)",Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,001s",PASSED
if (validaBtnParticipar == true),Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:11,"0,002s",PASSED
Start listener action : sampleAfterTestCase,Chrome 77.0.3865.75,,2019-09-14 18:03:11,2019-09-14 18:03:12,"0,754s",PASSED
,,,,,,
